wavelength,p10,p90
601,1.42995232098996,1.76700071203395
603,1.32657,1.78049
605,1.33489,1.79042
607,1.34391,1.80116974124542
609,1.35374,1.81297
611,1.3630143233829,1.82511656608238
613,1.37093,1.83708
615,1.37718,1.84868798942543
617,1.3827,1.85988
619,1.3881,1.87171070167116
620,1.39239,1.88039911284836
622,1.39521,1.88996
624,1.39735,1.89860725065327
626,1.39842,1.90607485544889
628,1.3984,1.91197845074838
630,1.39755,1.91668
632,1.39615,1.91994
634,1.39422,1.92279
636,1.39205,1.92549839
638,1.38998,1.92794
640,1.3874,1.93025895016257
642,1.38438,1.93263
644,1.38119,1.93549
646,1.37751,1.93845359808605
647,1.37425,1.94084604624222
649,1.37113,1.94444
651,1.36935,1.94849229994624
653,1.3683,1.95212
655,1.36768,1.95479187177425
657,1.36692,1.95681845883962
659,1.36628,1.95803
661,1.36535,1.95833607487829
663,1.36402,1.95777137146201
665,1.3622,1.95613
667,1.36066,1.95326400824491
669,1.36058,1.95158
671,1.35985,1.95184
673,1.35946,1.95186
674,1.35991,1.95157
676,1.36128,1.95129628146226
678,1.36379,1.95157
680,1.36797,1.95235
682,1.37335,1.95359
684,1.38009,1.95571774263936
686,1.38793991204186,1.95884915905726
688,1.3981,1.96298
690,1.4104,1.96864
692,1.42702,1.97714
694,1.45094,1.99109422085168
696,1.48085,2.01071
698,1.50311,2.02966
700,1.50304,2.03981
701,1.4842928073467,2.04068040250794
703,1.45706,2.03674
705,1.43076438290722,2.0305
707,1.40618,2.02232
709,1.38444,2.01272
711,1.36592,2.00171
713,1.34949567171374,1.98997
715,1.33577,1.97844
717,1.32396,1.96631818384282
719,1.31320587551518,1.95437
721,1.30424,1.94374351149391
723,1.29724,1.9345571901694
725,1.29143806637474,1.92644
727,1.28698,1.91938458370787
728,1.28372,1.91386
730,1.28065,1.90845
732,1.27884,1.90403
734,1.27779,1.9003
736,1.27722,1.89728
738,1.27675024633818,1.89511
740,1.27636,1.89367
742,1.27596,1.89255
744,1.27565,1.89196
746,1.27506,1.89197
748,1.27393,1.89193
750,1.27299,1.89152
752,1.27173,1.89039
754,1.27038,1.88818
755,1.26885,1.88556
757,1.26734,1.88141
759,1.26622,1.87635
761,1.26548,1.87080547526849
763,1.26486,1.86468096108178
765,1.26395179305303,1.85825
767,1.26212947236561,1.85134
769,1.2574,1.84425559037902
771,1.24928,1.83652
773,1.23648,1.82779
775,1.22074,1.81944786367196
777,1.20571,1.81296
779,1.19777,1.81042
781,1.20065,1.81241
782,1.21423,1.81754
784,1.23880955882142,1.82593
786,1.2687,1.83526
788,1.29605,1.8428
790,1.30972,1.8459
792,1.30512572034605,1.8434203248375
794,1.28791,1.83741852451171
796,1.26915,1.83192
798,1.2585,1.82927202229488
800,1.26065,1.83080890715511
802,1.27704,1.83613
804,1.3111,1.84641
806,1.3647,1.8631
808,1.42912,1.88465
809,1.47719271387952,1.90589581955302
811,1.49159771233441,1.92622
813,1.48593,1.93058
815,1.47194734193962,1.91598
817,1.45430759466872,1.89311
819,1.43505,1.87086
821,1.41473,1.85022
823,1.39239,1.83186
825,1.36971,1.81542
827,1.34797279748894,1.80034
829,1.32723,1.78637
831,1.30787,1.77314
833,1.29005,1.76049
835,1.27364,1.74826
836,1.259076,1.73731
838,1.24452,1.72562
840,1.23143,1.71444
842,1.21924,1.70415492830168
844,1.20824,1.6945
846,1.19849,1.6852723280208
848,1.18927000990701,1.67704
850,1.18091,1.66931
852,1.17332,1.66245
854,1.16675243738609,1.65664
856,1.1615,1.65175
858,1.1572,1.64758025384122
860,1.15417,1.64442
862,1.15208,1.64187
863,1.15119,1.64016366962698
865,1.15093,1.63908
867,1.15126,1.63888
869,1.1521,1.63928
871,1.15268,1.64065
873,1.15333,1.64311
875,1.15351,1.64495
877,1.15286,1.64550728826148
879,1.15173,1.64425
881,1.15021,1.64177
883,1.14898,1.63878
885,1.14821,1.63596
887,1.14868,1.63376
889,1.15081590955512,1.63232509032671
890,1.15382,1.63212981328567
892,1.15746,1.63267
894,1.16198,1.63416
896,1.16701023231534,1.63667
898,1.17232,1.64018
900,1.17807,1.64449
902,1.18417,1.64987
904,1.19094,1.65629
906,1.19739,1.66399
908,1.2037,1.6729038127767
910,1.20932369542504,1.68362
912,1.21343,1.69548
914,1.2155,1.70829
916,1.21513,1.72124
917,1.21295,1.73107807957593
919,1.20935,1.74051
921,1.20489,1.74731
923,1.20018,1.75127
