"waveband","wavenumber","q05","q95","mean","sd"
"w4001",4001,0.197533511297906,0.6535823,0.404362351852499,0.158772494628038
"w3999",3999,0.1978497,0.6539393,0.404866363363919,0.158763082445376
"w3997",3997,0.19822555,0.6543526,0.405366251133569,0.15875691853396
"w3995",3995,0.19850125,0.65468445,0.405781280796465,0.158755786641153
"w3993",3993,0.19873555,0.65480515,0.406156514912014,0.158755983258708
"w3991",3991,0.199023138257878,0.65517615,0.406596312015297,0.15875175728682
"w3990",3990,0.199304544572572,0.655464,0.407008864339699,0.158751868622185
"w3988",3988,0.1997511,0.65583845,0.407638374105702,0.15871453235452
"w3986",3986,0.200565,0.65645915,0.408568845536998,0.158648316366004
"w3984",3984,0.201334,0.6569534,0.409391682245126,0.158603240409146
"w3982",3982,0.20132025,0.65715315,0.409644665196662,0.158625193549401
"w3980",3980,0.2012584,0.65722085,0.409727364917964,0.158656330645941
"w3978",3978,0.201534,0.65745875,0.410171233230902,0.158642085606829
"w3976",3976,0.201914547066493,0.6578412,0.410679751366976,0.158622807336484
"w3974",3974,0.2019277,0.65790215,0.410895104077891,0.158644614530563
"w3972",3972,0.20193825,0.65802105,0.411109859524835,0.158714059790526
"w3970",3970,0.20215465,0.65820775,0.411432040359035,0.160276173250241
"w3968",3968,0.20245155,0.6584583,0.412080164181769,0.178981931524951
"w3966",3966,0.20283105,0.65875715,0.411751673528976,0.350685529208836
"w3964",3964,0.203263,0.65919815,0.41519340687527,1.1743202851667
"w3963",3963,0.203484116612959,0.6593139,0.404496801260323,4.3463139488519
"w3961",3961,0.2034527,0.659325,0.445704972562981,16.1988235723902
"w3959",3959,0.203610660511069,0.659439,0.292910596845317,60.4232836623131
"w3957",3957,0.203971555944811,0.65974035,0.864369735283855,225.378861965166
"w3955",3955,0.204305721949154,0.65997015,-1.26521395823365,840.685937292666
"w3953",3953,0.2047125,0.66024335,6.68034234998825,3135.81745377526
"w3951",3951,0.2049598,0.660578578114037,-22.9550443407231,11696.7966181429
"w3949",3949,0.20473718054397,0.660497,87.4419136981288,43556.6383409058
"w3947",3947,0.20451985,0.66041665,-324.936634048645,162837.894975768
"w3945",3945,0.204974,0.660894,1213.99834802285,607395.334388616
"w3943",3943,0.205382070096326,0.66132715,-4510.59776580853,2257752.39819325
"w3941",3941,0.20523925,0.6612386,16886.7787504182,8451586.4069902
"w3939",3939,0.20564984248967,0.66165565,-63073.9389512363,31568573.3444699
"w3937",3937,0.20674685,0.66257575,234732.831083249,117483045.10095
"w3936",3936,0.2079477,0.66362805,-874258.05794268,437564402.675368
"w3934",3934,0.20852073213134,0.66424105,3265495.55352319,1634372974.37271
"w3932",3932,0.207632768146627,0.6636343,-12175745.4947417,6093933461.8973
"w3930",3930,0.2066754,0.6630059,45509345.8028006,22777325070.7324
"w3928",3928,0.20703279040226,0.66334215,-169662032.810523,84915466272.4573
"w3926",3926,0.207771874061657,0.66405675,630743559.250813,315685733436.744
"w3924",3924,0.20759765927852,0.66402575,-2359300273.43441,1180824483930.74
"w3922",3922,0.207556937026024,0.66414015,8782505249.96078,4395624136460.64
"w3920",3920,0.208068259134602,0.66467315,-32814633250.2066,16423650182586.4
"w3918",3918,0.208092869276971,0.6647875,122555868709.868,61338936813328.8
"w3916",3916,0.20747295,0.6642574,-455093453839.614,227773250707628
"w3914",3914,0.207645093441926,0.6644612,1788437432634.53,895108915061262
"w3912",3912,0.208987532396379,0.6656786,6746560850785.57,3376638541182026
"w3910",3910,0.210247694253856,0.6667766,-878250524953.951,439562413645340
"w3909",3909,0.2110156,0.66770515,235131617817.648,117682846198518
"w3907",3907,0.21157955,0.6683393,-63074355882.7233,31568573343629.7
"w3905",3905,0.2108787,0.668164,16886362366.6099,8451586407830.88
"w3903",3903,0.2089441,0.6668616,-4511014059.5711,2257752397360.79
"w3901",3901,0.208030534181729,0.66614055,1209590496.15542,605397324247.856
"w3899",3899,0.208529320916775,0.666426,-324553489.025326,162438291952.057
"w3897",3897,0.21011085,0.6677959,87026643.352717,43556639170.3498
"w3895",3895,0.21276816112395,0.6701223,-23273638.4834056,11648403961.6262
